Vocabulary,Монгол орчуулга,Meaning & Example,Монгол орчуулга,жишээ орчуулга
もっと,илүү,,more
もっと おおきい こえで はなしてください。Please speak louder.,,илүү,
もの,зүйл,,object, thing
いちばん いいものを えらんでください。Please choose the best one.,,зүйл,
もらいます,авах,,receive
ともだちに プレゼントを もらいました。I got a present from my friend.,,авах,
もん,,гарц, хаалга,,,gate
あそこの もんから はいってください。Please enter from the gate over there.,,,гарц, хаалга,,
もんだい,асуулт,,question
これは むずかしいもんだいです。This is a difficult question.,,асуулт,
もんだいようし,асуултын хуудас,,question sheet
まだ もんだいようしを みないでください。Don't look at the question paper yet.,,асуултын хуудас,
もんだいれい,жишээ асуулт,,sample question
これは N5のもんだいれいです。This is an example of an N5 question.,,жишээ асуулт,
,,,,
やおや,ногооны дэлгүүр,,vegetable store
ちかくの やおやで くだものを かいました。I bought some fruits at a nearby greengrocer.,,ногооны дэлгүүр,
やさい,ногоо,,vegetable
まいにち やさいを たべます。I eat vegetables every day.,,ногоо,
やさしい,эелдэг,,easy, kind/nice/sweet/gentle [i-adj.]
このテストは やさしいです。This test is easy.
かれは とても やさしいです。He is very kind.,,эелдэг,
やじるし,сум,,arrow
あそこに あかい やじるしが あります。There is a red arrow over there.,,сум,
やすい,хямд,,cheap, inexpensive
このみせの ランチは 安いですが、おいしいです。Lunch at this shop is cheap but delicious.,,хямд,
やすみ,амралт,,holiday, vacation
あしたは 休みですから、かいものにいきます。I'm off tomorrow, so I'm going shopping.,,амралт,
やすみます,амрах,,have a day off, rest, be absent
あしたから １しゅうかん 休みます。I will take a week off from tomorrow.
つかれましたから、すこしやすみます。I'm tired, so I'll take a break.,,амрах,
やっつ,8 ширхэг,,eight
このドーナツを 八つ ください。Please give me eight of these donuts.,,8 ширхэг,
やま,уул,,mountain
しゅうまつに たかい やまに のぼりました。I climbed a high mountain on the weekend.,,уул,
やります,хийх,,do
そのしごとは あとで わたしが やります。I will do the work later.,,хийх,
ゆうがた,үдээс хойш,,early evening
なつでも ゆうがたは すずしいです。Even in the summer, it is cool in the evening.,,үдээс хойш,
ゆうびんきょく,шуудан,,post office
ゆうびんきょくにはあまり いきません。I don't go to the post office very often.,,шуудан,
ゆうめい,алдартай,,famous [na-adj.]
これは すごく有名なアニメです。This is a very famous anime.,,алдартай,
ゆき,цас,,snow
ふゆは たくさん ゆきが ふります。In winter, there are many snowfalls.,,цас,
ゆっくり(と),удаан,,slowly
もうすこし ゆっくり はなしてください。Please speak a little more slowly.,,удаан,
ようか,,8-ны өдөр, найман өдөр,,,the eight day of the month, eight days
きょうは 八日、きんようびです。Today is the 8th, Friday.,,,8-ны өдөр, найман өдөр,,
ようふく,ようふく,,(western) clothes
ともだちのたんじょうびにようふくを あげました。I gave clothes to my friend's birthday.,,ようふく,
よく,их,,often
よく カフェで しごとを します。I often work at a nearby cafe.,,их,
よこ,,дэргэд, хажууд,,,the side
テレビの よこに スイッチが あります。There is a switch next to the TV.,,,дэргэд, хажууд,,
よっつ,4 ширхэг,,four
アイスコーヒーを 四つ ください。Please give me four iced coffees.,,4 ширхэг,
よびます,дуудах,,call, invite
おみせの ひとを よびましょう。Let's call the shop staff.,,дуудах,
よみます,унших,,read
むすめは よく ほんを 読みます。My daughter often reads books.,,унших,
よる,орой,,night
あしたの夜 カフェで ともだちに あいます。I'll see my friends at the cafe tomorrow night.,,орой,
,,,,
ラーメン,гоймон,,ramen, noodle
ときどき ラーメンを たべます。I eat ramen sometimes.,,гоймон,
らいげつ,ирэх сар,,next month
たぶん 来月 シンガポールに いきます。Maybe I'm going to Singapore next month.,,ирэх сар,
らいしゅう,ирэх 7 хоног,,next week
来週は とても いそがしいです。I will be very busy next week.,,ирэх 7 хоног,
らいねん,ирэх жил,,next year
来年 けっこんします。I'm getting married next year.,,ирэх жил,
ラジオ,радио,,radio
いまは ほとんど ラジオを ききません。I rarely listen to the radio now.,,радио,
りっぱ,,,good, fine, fine-looking, splendid, magnificent [na-adj.]
あのひとは とても りっぱなひとです。That person is a very good person.,,,
りゅうがくせい,,,student studying abroad
リンダさんは りゅうがくせいです。Linda is an international student.,,,
りょうしん,,,parents
りょうしんは ハワイに すんでいます。My parents live in Hawaii.,,,
りょうり,,,cooking
よく りょうりを します。I cook often.,,,
りょこうがいしゃ,,,travel agency
かれは りょこうがいしゃにつとめています。He works for a travel agency.,,,
りょこうします,,,travel
なつやすみに ともだちと りょこうします。I travel with friends for summer vacation.,,,
りんご,,,apple
ネットで りんごを たくさん かいました。I bought a lot of apples online.,,,
れい,,,example
もうすこし れいを おしえてください。Please give me a few more examples.,,,
れいぞうこ,,,refrigerator
れいぞうこの なかに ビールが たくさん あります。There is a lot of beer in the fridge.,,,
レコード,,,record
わたしの うちに レコードは ありません。There are no records in my house.,,,
レストラン,,,restaurant
このレストランは とても おいしいです。This restaurant has really good food.,,,
れんしゅう,,,practice
れんしゅうは とても たいせつです。Practice is very important.,,,
れんしゅうします,,,practice
うちで もっと れんしゅうしてください。Please practice more at home.,,,
ろく,,,six
このタブレットは 六まんえんぐらいでした。This tablet cost about 60,000 yen.,,,
ろっぽん,,,six (long objects)
コーラを 六本 ください。Please give me six colas.,,,
,,,,
,ワイシャツ
(Yシャツ),,,,business shirt (white shirt)
ワイシャツは あまり きません。I don't wear shirts very often.,,,
わかい,,,young [i-adj.]
ははは ちちより ５さい わかいです。My mother is 5 years younger than my father.,,,
わかります,,,understand, know
にほんごが わかりますか。Do you understand Japanese?,,,
わすれます,,,forget
また パスワードをわすれました。I forgot my password again.,,,
,わたくし
(very formal),,,,I
私は ABC Company の さとうです。I'm Sato from ABC Company.,,,
わたし,,,I
私は にほんごを べんきょうしています。I'm studying Japanese.,,,
わたします,,,hand over
これから しゅくだいを わたします。I will give you homework from now on.,,,
わたります,,,cross
おうだんほどうを わたりましょう。Let's cross the pedestrian crossing.,,,
わるい,,,bad [i-adj.]
わたしは めが わるいです。I have bad eyesight.,,,
,,,,
あ,,,Ah!, Oh!,,,
ああ,,Ah!,,
あの,,,Well, Let me see.,,,
あのう,,,Excuse me., Well, Let me see.,,,
,,,,
ありがとうございます。,,Thank you very much.,,
いいえ。,,No,,
いえ。,,No,,
いただきます。,,Let's eat! (saying this before having a meal.),,
いってきます。,,,I am going., I am leaving.,,,
いらっしゃいませ。,,,May I help you? (at restaurant, shop),,,
うーん,,,Well, Let me see.,,,
え,,Oh! = えっ。,,
ええ,,Yes.,,
えー,,,Well, Let me see.,,,
えっ,,Oh! = え。,,
おげんきで。,,Take care of yourself.,,
おねがいします。,,Please.,,
おはようございます。,,Good morning.,,
おやすみなさい。,,Good night.,,
ください。,,Please give me.,,
ごちそうさまでした。,,I've enjoyed my meal very much. Thank you. (saying this after having a meal.),,
こちらこそ。,,,It is me, not you that ...,,,
ごめんください。,,,Hello!, May I come in?,,,
ごめんなさい。,,Sorry.,,
こんにちは。,,,Good morning., Good afternoon., Hello.,,,
こんばんは。,,Good evening.,,
さあ…,,Well ...,,
さようなら。,,Goodbye.,,
しつれいしました。,,I am sorry. (I am sorry to have been rude.),,
しつれいします。,,Excuse me.,,
じゃ,,,then, well, well then, if so, in the case.,,,
じゃあ,,,then, well, well then, if so, in the case.,,,
すみません。,,Excuse me.,,
そうしましょう。,,Let's do it.,,
そうです。,,That's right.,,
そうですか。,,I see.,,
そうですね。,,,Oh right., Well ...,,,
ただいま。,,,I'm home., I'm back.,,,
では、また。,,,Well then, see you again.,,,
どういたしまして。,,,You are welcome., Not at all.,,,
どうぞ。,,Please.,,
どうも。,,Thanks.,,
どうもありがとう。,,Thanks a lot.,,
はい。,,Yes.,,
はじめまして。,,Nice to see you.,,
よろしく。,,(Please favor me.),,
