Vocabulary,Монгол орчуулга,Meaning & Example,Монгол орчуулга,жишээ орчуулга
ここで てを あらいます。 Wash your hands here.,,угаах,Энд гараа угаана.
あります,орших,,be [existence]
はこの なかに りんごが ななつ あります。There are seven apples in the box.,,орших,Хайрцаг дотор 7 ширхэг алим байна.
あります,байх,,have [possession]
わたしは きょう じかんが あります。I have time today.,,байх,Өнөөдөр надад цаг байгаа.
あるきます,алхах,,walk
きのうは オフィスから うちまで あるきました。I walked from the office to my house yesterday.,,алхах,Өчигдөр ажлаас гэр хүртэл алхсан.
あれ,тэр,,that (one)
あれは なんですか。What is that?,,тэр,Тэр юу вэ?
いい,сайн,,good [i-adj.]
この アプリは とても いいです。This app is very nice.,,сайн,Энэ аппликейшн үнэхээр гоё.
いいます,хэлэх,,say, tell
もういちど 言います。I will say it again.,,хэлэх,Дахиад 1 удаа хэлье.
いえ,гэр,,house
家の なかは あたたかいです。The inside of the house is warm.,,гэр,Гэрт дулаахан байна.
いきます,явах,,go
じてんしゃで がっこうに 行きます。I go to school by bicycle.,,явах,Дугуйгаар гэр рүүгээ явна.
いくつ,хэд,,how many, how old
れいぞうこの なかに たまごが いくつ ありますか。How many eggs are there in the fridge?,,хэд,Хөргөгчинд хэдэн ширхэг өндөг байна вэ?
いくら,хэр их,,how much
これは いくらですか。How much is this?,,хэр их,Энэ хэд вэ?
いけ,цөөрөм,,pond
いけの なかに きれいな さかなが います。There are beautiful fish in the pond.,,цөөрөм,Цөөрөм дотор үзэсгэлэнтэй загас байна.
いしゃ,эмч,,doctor = おいしゃさん。
ちちは いしゃです。My father is a doctor.,,эмч,Миний аав бол эмч.
いす,сандал,,chair
このいすは たかかったです。This chair was expensive.,,сандал,Энэ сандал хүнтэй байсан.
いそがしい,завгүй,,busy [i-adj.]
このごろ まいにち いそがしいです。I'm busy these days.,,завгүй,Өдөр бүр завгүй байна.
いたい,,өвчтэй, өвдөж байна,,,be painful [i-adj.]
きょうは すこし あたまが いたいです。I have a slight headache today.,,,өвчтэй, өвдөж байна,,Өнөөдөр толгой бага зэрэг өвдөж байна.
いち,нэг,,one
いち、に、さん、し、ご・・・one, two, three, four, five...,,нэг,
いちど,нэг удаа,,once
もう一ど いってください。Say that once more please.,,нэг удаа,Дахиад 1 удаа хэлээд өгөөч.
いちにち,нэг өдөр,,one day
きのうは 一日 うちに いました。I was at home all day yesterday.,,нэг өдөр,Өчигдөр бүтэн өдөр гэртээ байсан.
いちばん,,хамгийн, хамгийн шилдэг,,,the best
一ばん いいものを えらびます。Choose the best one.,,,хамгийн, хамгийн шилдэг,,Хамгийн сайныг нь сонгоно.
いつ,хэзээ,,when
いつ とうきょうに いきますか。When are you going to Tokyo?,,хэзээ,ЧИ хэзээ токио явах вэ?
いつか,,таван өдөр, тавны өдөр,,,the fifth day of the month, five days
きょうは 五日です。Today is the 5th.,,,таван өдөр, тавны өдөр,,өнөөдөр 5ны өдөр
いっしょ(に),,хамт, цуг,,,together
ともだちと いっしょに がっこうに いきます。I will go to school with my friends.,,,хамт, цуг,,Би найзтайгаа хамт сургуульдаа явна.
いつつ,таван ширхэг,,five
りんごは 五つ 400えんです。Five apples cost 400 yen.,,таван ширхэг,5 ширхэг алим 400 иен болно.
いつも,,үргэлж, байнга,,,always
いつも けいたいでんわをもっています。I always have a mobile phone.,,,үргэлж, байнга,,Би үргэлж гар утастайгаа байна.
いま,одоо,,now
今 なんじですか。What time is it now?,,одоо,Одоо хэдэн цаг болж байна вэ?
います,,орших , байх / хүн, амьтан/,,,be (existence)
わたしは いま いえに います。I'm at home now. have (family)
わたしは きょうだいが います。I have a sibling.,,,орших , байх / хүн, амьтан/,,Би одоо гэртээ байна. Надад ах дүү байгаа.
いみ,утга,,meaning
おなじ いみのぶんは どれですか。Which sentences have the same meaning?,,утга,Аль нь адилхан утгатай өгүүлбэр вэ?
いもうと,охин дүү,,(my) younger sister
いもうとは いま いえに いません。My sister isn't at home right now.,,охин дүү,Охин дүү маань яг одоо гэртээ байхгүй байна.
いもうとさん,охин дүү /өөр хүний/,,(someone's) younger sister
いもうとさんは どこに いますか。Where is your sister?,,охин дүү /өөр хүний/,Охин дүү чинь хаана байна вэ?
いや,,хүсэхгүй, дургүй,,,hateful, not likable, unpleasant [na-adj.]
いやな しごとも あります。There are also unpleasant jobs.,,,хүсэхгүй, дургүй,,Дургүй ажил ч бас байгаа.
いりぐち,орох хаалга,,entrance
入口は どこですか。Where is the entrance?,,орох хаалга,Орох хаалга хаана байна вэ?
いります,,хэрэгтэй, шаардлагатай,,,be necessary, must have, need
ふくろは いりません。I do not need a bag.,,,хэрэгтэй, шаардлагатай,,Надад уудах хэрэггүй.
いれます,,хийх, оруулах,,,put in
コーヒーに クリームを 入れますか。Would you like to add cream to your coffee?,,,хийх, оруулах,,Кофендоо крем хийх үү?
いろ,өнгө,,color
どんな いろが すきですか。What kind of color do you like?,,өнгө,Та ямар өнгөнд дуртай вэ?
いろいろ,,өөр өөр, янз бүр,,,various [na-adj.]
この ビルの なかには いろいろな みせが あります。There are various shops in this building.,,,өөр өөр, янз бүр,,Энэ барилга дотор янз бүрийн дэлгүүр байгаа.
うえ,дээр,,on, above, top
めがねは つくえの 上に あります。The glasses are on the desk.,,дээр,Нүдний шил ширээн дээр байна.
うしろ,ард,,back, behind
モニターの 後ろに スイッチが あります。There is a switch on the back of the monitor.,,ард,Дэлгэцний ард унтраалга байгаа.
うすい,нимгэн,,thin [i-adj.]
このほんは うすいです。This book is thin.,,нимгэн,Энэ ном бол нимгэн.
うた,дуу,,song
これは いい うたですね。 This is a good song.,,дуу,Энэ бол гоё дуу.
うたいます,дуулах,,sing
カラオケで にほんごの うたを うたいました。I sang a Japanese song at karaoke.,,дуулах,Караокед Япон дуу дуулсан.
うち,гэр,,home
うちは どこですか。Where is your home?,,гэр,Гэр чинь хаана вэ?
うまれます,төрөх,,be born
せんげつ あかちゃんが 生まれました。Last month, a baby was born.,,төрөх,Өнгөрсөн сард хүүхэд минь төрсөн.
うみ,далай,,sea
やまより うみが すきです。I like the sea better than the mountains.,,далай,Уулнаас илүү далайд дуртай.
うります,зарах,,sell
Amazonで うっています。It is sold on Amazon.,,зарах,Энэ амазонд зарагдаж байгаа.
うるさい,шуугиантай,,loud [i-adj.]
ちかてつの なかは うるさいです。It's noisy in the subway.,,шуугиантай,Метронд чимээ ихтэй байдаг.
うれしい,,аз жаргалтай, баяртай,,,happy, pleased [i-adj.]
とても うれしいです。I am very happy.,,,аз жаргалтай, баяртай,,Маш их баяртай байна.
うわぎ,хувцас /дээгүүр өмсдөг/,,coat, jacket, outerwear
みせに うわぎを わすれました。I forgot my jacket at the store.,,хувцас /дээгүүр өмсдөг/,Дэлгүүрт гадуур хувцсаа мартсан.
エアコン,агааржуулагч,,air conditioner
わたしの うちには エアコンが ５だい あります。There are 5 air conditioners in my house.,,агааржуулагч,Манай гэрт 5 ширхэг агааржуулагч бий.
えいが,кино,,movie
きのう ともだちと えいがを みました。I watched a movie with my friends yesterday.,,кино,Өчигдөр найзтайгаа кино үзсэн.
えいがかん,кино театр,,movie theater
あたらしい えいがかんに いきました。I went to a new movie theater.,,кино театр,Шинэ кино театр руу явсан.
えいご,англи хэл,,English
えいごで はなしても いいですか。May I speak in English?,,англи хэл,Англи хэлээр ярьсан ч болох уу?
えき,өртөө,,station
うちから 駅まで 5ふんぐらいです。It takes about 5 minutes from our house to the station.,,өртөө,Гэрээс буудал хүртэл ойролцоогоор 5 минут.
えらびます,сонгох,,choose
いちばん いいものを えらびます。Choose the best one.,,сонгох,Хамгийн сайныг нь сонгоно.
エレベーター,цахилгаан шат,,elevator, lift
エレベーターは どこに ありますか。Where is the elevator?,,цахилгаан шат,Цахилгаан шат хаана байгаа вэ?
えんぴつ,харандаа,,pencil
えんぴつで かいても いいですか。Can I write it in pencil?,,харандаа,Харандаагаар бичсэн ч болох уу?
お～,,,[polite prefix]
おくに。おかね。おしごと。おでんわ。Country. Money. Job. Phone.,,,
おいしい,амттай,,delicious, good, tasty [i-adj.]
このみせの ラーメンは おいしいです。The ramen in this shop is delicious.,,амттай,Энэ дэлгүүрийн гоймон амттай.
おいでになります,ирэх,,come, go, be [respect]
あしたは なんじに おいでになりますか。What time will you come tomorrow?,,ирэх,Маргааш хэдэн цагт ирэх вэ?
おおい,,олон, их,,,a lot of [i-adj.]
このホテルは へやが 多いです。This hotel has many rooms.,,,олон, их,,Энэ буудал олон өрөөтэй.
おおきい,том [т.н],,big [i-adj.]
大きい くるまを かいたいです。I want to buy a big car.,,том [т.н],Том машин худалдаж авмаар байна.
おおきな,том [н.ү],,big 大きな[noun] = 大きい[noun]
大きな ショッピングモールにいきました。I went to a big shopping mall.,,том [н.ү],Том худалдааны төв рүү явмаар байна.
おおぜい,олон хүн,,many (people), a great number of (people)
えきの まえに ひとが おおぜい います。There are a lot of people in front of the station.,,олон хүн,Буудлын өмнө хүмүүс маш их байна.
おかあさん,ээж,,(someone's) mother
かれの お母さんは にほんじんです。His mom is Japanese.,,ээж,Тэр залуугийн ээж бол япон хүн.
